File,Subjects,Predicates,Objects,Triples
http://example.com/dbpedia_3-5,1480677,1044,3362206,15937708
http://example.com/dbpedia_3-5-1,1482831,1049,3526994,16476226
http://example.com/dbpedia_3-6,1675741,1107,4003952,19788703
http://example.com/dbpedia_3-7,1841067,1304,4630388,26474952
http://example.com/dbpedia_3-8,2361656,1321,5230943,33409679
http://example.com/dbpedia_3-9,3258298,1382,6549507,41255353
http://example.com/dbpedia_2015-04,4567199,1375,8677155,37695146
http://example.com/dbpedia_2015-10,4999912,1381,8967567,40534789
http://example.com/dbpedia_2016-04,5113876,1391,8810273,40330411
http://example.com/dbpedia_2016-10,5048231,1394,8260879,38316192
http://example.com/dbpedia_2019-08,3829240,1266,6085053,25488769
http://example.com/dbpedia_2019-09,3865500,1285,6148293,25644912
